,precision,recall,f1-score,support
0.0,0.7566666666666667,0.48764769065520946,0.5930764206401045,931.0
1.0,0.5341796875,0.7893217893217893,0.6371578334304019,693.0
accuracy,0.6163793103448276,0.6163793103448276,0.6163793103448276,0.6163793103448276
macro avg,0.6454231770833334,0.6384847399884994,0.6151171270352531,1624.0
weighted avg,0.6617261022808908,0.6163793103448276,0.6118870235118262,1624.0
