,precision,recall,f1-score,support
0.0,0.8763157894736842,0.715359828141783,0.7876995860437611,931.0
1.0,0.6932870370370371,0.8643578643578643,0.7694283879254977,693.0
accuracy,0.7789408866995073,0.7789408866995073,0.7789408866995073,0.7789408866995073
macro avg,0.7848014132553607,0.7898588462498237,0.7785639869846295,1624.0
weighted avg,0.7982130028735632,0.7789408866995073,0.7799028247777781,1624.0
